Episode    100  |  Step  1.9  |  Score   20.6  |  Loss   nan  |  Eps  1.00  |  Q   nan  |  Rem 1.56
Episode  21700  |  Step  2.8  |  Score   37.4  |  Loss 1.287  |  Eps  0.73  |  Q  88.0  |  Rem 1.71
Episode  21800  |  Step  3.1  |  Score   29.3  |  Loss 1.339  |  Eps  0.73  |  Q  88.2  |  Rem 1.93
Episode  21900  |  Step  3.0  |  Score   31.3  |  Loss 1.344  |  Eps  0.73  |  Q  88.1  |  Rem 1.81
Episode  22000  |  Step  3.1  |  Score   17.8  |  Loss 1.401  |  Eps  0.73  |  Q  88.2  |  Rem 1.99
Episode  22100  |  Step  3.1  |  Score   16.3  |  Loss 1.419  |  Eps  0.73  |  Q  88.6  |  Rem 2.00
Episode  22200  |  Step  3.0  |  Score   18.0  |  Loss 1.349  |  Eps  0.73  |  Q  88.2  |  Rem 1.93
Episode  22300  |  Step  2.9  |  Score   22.0  |  Loss 1.262  |  Eps  0.72  |  Q  88.1  |  Rem 1.96
Episode  22400  |  Step  2.7  |  Score   38.0  |  Loss 1.331  |  Eps  0.72  |  Q  88.3  |  Rem 1.81
Episode  22500  |  Step  3.1  |  Score   29.1  |  Loss 1.299  |  Eps  0.72  |  Q  88.3  |  Rem 1.73
Episode  22600  |  Step  2.8  |  Score   36.0  |  Loss 1.297  |  Eps  0.72  |  Q  88.9  |  Rem 1.69
Episode  22700  |  Step  2.9  |  Score   27.5  |  Loss 1.148  |  Eps  0.72  |  Q  89.5  |  Rem 1.75
Episode  22800  |  Step  3.0  |  Score   36.8  |  Loss 1.237  |  Eps  0.72  |  Q  89.9  |  Rem 1.84
Episode  22900  |  Step  3.0  |  Score   22.4  |  Loss 1.260  |  Eps  0.72  |  Q  89.7  |  Rem 1.91
Episode  23000  |  Step  3.2  |  Score   22.1  |  Loss 1.223  |  Eps  0.72  |  Q  89.3  |  Rem 1.99
Episode  23100  |  Step  3.0  |  Score   25.3  |  Loss 1.117  |  Eps  0.71  |  Q  89.6  |  Rem 1.88
Episode  23200  |  Step  3.2  |  Score   22.8  |  Loss 1.286  |  Eps  0.71  |  Q  89.5  |  Rem 2.09
Episode  23300  |  Step  2.9  |  Score   23.8  |  Loss 1.219  |  Eps  0.71  |  Q  89.5  |  Rem 1.89
Episode  23400  |  Step  3.0  |  Score   26.2  |  Loss 1.117  |  Eps  0.71  |  Q  90.0  |  Rem 1.97
Episode  23500  |  Step  3.1  |  Score   28.3  |  Loss 1.162  |  Eps  0.71  |  Q  90.2  |  Rem 1.87
Episode  23600  |  Step  3.0  |  Score   29.6  |  Loss 1.187  |  Eps  0.71  |  Q  90.1  |  Rem 1.88
Episode  23700  |  Step  2.8  |  Score   23.3  |  Loss 1.130  |  Eps  0.71  |  Q  89.8  |  Rem 1.96
Episode  23800  |  Step  2.9  |  Score   23.6  |  Loss 1.180  |  Eps  0.71  |  Q  89.6  |  Rem 1.92
Episode  23900  |  Step  3.2  |  Score   18.1  |  Loss 1.164  |  Eps  0.70  |  Q  89.5  |  Rem 2.17
Episode  24000  |  Step  3.0  |  Score   20.3  |  Loss 1.184  |  Eps  0.70  |  Q  89.9  |  Rem 1.77
Episode  24100  |  Step  3.4  |  Score   34.9  |  Loss 1.096  |  Eps  0.70  |  Q  89.1  |  Rem 1.75
Episode  24200  |  Step  2.7  |  Score   27.4  |  Loss 1.133  |  Eps  0.70  |  Q  89.1  |  Rem 1.72
Episode  24300  |  Step  3.2  |  Score   19.4  |  Loss 1.126  |  Eps  0.70  |  Q  88.9  |  Rem 1.97
Episode  24400  |  Step  3.5  |  Score   25.0  |  Loss 1.033  |  Eps  0.70  |  Q  87.8  |  Rem 2.01
Episode  24500  |  Step  3.6  |  Score   18.8  |  Loss 1.182  |  Eps  0.70  |  Q  88.0  |  Rem 2.15
Episode  24600  |  Step  3.3  |  Score   23.1  |  Loss 1.163  |  Eps  0.70  |  Q  88.0  |  Rem 2.07
Episode  24700  |  Step  3.4  |  Score   16.3  |  Loss 1.092  |  Eps  0.69  |  Q  86.9  |  Rem 2.05
Episode  24800  |  Step  3.1  |  Score   23.1  |  Loss 1.062  |  Eps  0.69  |  Q  86.3  |  Rem 1.81
Episode  24900  |  Step  3.5  |  Score   24.7  |  Loss 1.138  |  Eps  0.69  |  Q  86.6  |  Rem 2.07
Episode  25000  |  Step  3.6  |  Score   18.2  |  Loss 1.034  |  Eps  0.69  |  Q  85.9  |  Rem 2.00
Episode  25100  |  Step  3.3  |  Score   20.3  |  Loss 1.091  |  Eps  0.69  |  Q  86.3  |  Rem 2.08
Episode  25200  |  Step  3.8  |  Score    9.1  |  Loss 1.135  |  Eps  0.69  |  Q  85.8  |  Rem 2.39
Episode  25300  |  Step  3.3  |  Score   31.9  |  Loss 1.138  |  Eps  0.69  |  Q  85.6  |  Rem 2.00
Episode  25400  |  Step  3.3  |  Score   15.3  |  Loss 1.087  |  Eps  0.69  |  Q  85.6  |  Rem 1.97
Episode  25500  |  Step  3.6  |  Score   19.2  |  Loss 1.032  |  Eps  0.68  |  Q  85.6  |  Rem 2.07
Episode  25600  |  Step  3.4  |  Score   25.0  |  Loss 1.143  |  Eps  0.68  |  Q  85.1  |  Rem 1.99
Episode  25700  |  Step  3.8  |  Score   22.0  |  Loss 1.102  |  Eps  0.68  |  Q  84.3  |  Rem 2.09
Episode  25800  |  Step  3.7  |  Score   12.1  |  Loss 1.087  |  Eps  0.68  |  Q  83.8  |  Rem 2.09
Episode  25900  |  Step  3.5  |  Score   22.5  |  Loss 1.047  |  Eps  0.68  |  Q  83.2  |  Rem 2.19
Episode  26000  |  Step  3.5  |  Score   15.5  |  Loss 1.079  |  Eps  0.68  |  Q  84.0  |  Rem 2.20
Episode  26100  |  Step  3.5  |  Score   15.9  |  Loss 1.049  |  Eps  0.68  |  Q  84.7  |  Rem 2.13
Episode  26200  |  Step  4.2  |  Score   12.0  |  Loss 1.165  |  Eps  0.68  |  Q  84.5  |  Rem 2.44
Episode  26300  |  Step  3.5  |  Score   21.6  |  Loss 1.087  |  Eps  0.67  |  Q  83.7  |  Rem 2.12
Episode  26400  |  Step  3.5  |  Score   19.5  |  Loss 1.065  |  Eps  0.67  |  Q  83.5  |  Rem 2.00
Episode  26500  |  Step  3.6  |  Score    9.5  |  Loss 1.127  |  Eps  0.67  |  Q  82.6  |  Rem 2.29
Episode  26600  |  Step  3.3  |  Score   13.9  |  Loss 0.987  |  Eps  0.67  |  Q  82.3  |  Rem 2.20
Episode  26700  |  Step  3.4  |  Score   30.7  |  Loss 0.964  |  Eps  0.67  |  Q  82.2  |  Rem 1.99
Episode  26800  |  Step  3.7  |  Score   24.1  |  Loss 0.968  |  Eps  0.67  |  Q  81.8  |  Rem 1.96
Episode  26900  |  Step  3.7  |  Score   19.5  |  Loss 0.912  |  Eps  0.67  |  Q  81.5  |  Rem 2.27
Episode  27000  |  Step  3.4  |  Score   26.5  |  Loss 0.994  |  Eps  0.67  |  Q  82.7  |  Rem 1.97
Episode  27100  |  Step  3.5  |  Score   22.7  |  Loss 1.022  |  Eps  0.66  |  Q  82.5  |  Rem 1.93
Episode  27200  |  Step  3.8  |  Score   19.7  |  Loss 0.985  |  Eps  0.66  |  Q  81.7  |  Rem 2.25
Episode  27300  |  Step  3.4  |  Score   20.4  |  Loss 0.999  |  Eps  0.66  |  Q  81.5  |  Rem 2.07
Episode  27400  |  Step  3.3  |  Score   35.8  |  Loss 0.966  |  Eps  0.66  |  Q  81.1  |  Rem 1.83
Episode  27500  |  Step  3.7  |  Score   22.8  |  Loss 0.901  |  Eps  0.66  |  Q  81.3  |  Rem 2.19
Episode  27600  |  Step  3.0  |  Score   28.5  |  Loss 0.965  |  Eps  0.66  |  Q  81.7  |  Rem 1.81
Episode  27700  |  Step  3.3  |  Score   31.5  |  Loss 0.920  |  Eps  0.66  |  Q  82.0  |  Rem 1.84
Episode  27800  |  Step  4.0  |  Score   15.0  |  Loss 0.991  |  Eps  0.66  |  Q  82.0  |  Rem 2.37
Episode  27900  |  Step  3.6  |  Score   25.7  |  Loss 0.966  |  Eps  0.65  |  Q  81.4  |  Rem 2.16
Episode  28000  |  Step  3.7  |  Score   19.4  |  Loss 0.910  |  Eps  0.65  |  Q  81.1  |  Rem 2.04
Episode  28100  |  Step  4.4  |  Score   10.6  |  Loss 0.913  |  Eps  0.65  |  Q  80.1  |  Rem 2.47
Episode  28200  |  Step  4.4  |  Score   12.1  |  Loss 0.920  |  Eps  0.65  |  Q  80.3  |  Rem 2.44
Episode  28300  |  Step  4.4  |  Score   16.6  |  Loss 0.892  |  Eps  0.65  |  Q  80.0  |  Rem 2.40
Episode  28400  |  Step  4.8  |  Score    0.9  |  Loss 0.922  |  Eps  0.65  |  Q  80.2  |  Rem 2.52
Episode  28500  |  Step  4.5  |  Score    9.7  |  Loss 0.904  |  Eps  0.65  |  Q  78.7  |  Rem 2.40
Episode  28600  |  Step  4.3  |  Score   11.0  |  Loss 0.785  |  Eps  0.65  |  Q  77.9  |  Rem 2.39
Episode  28700  |  Step  4.2  |  Score   18.8  |  Loss 0.930  |  Eps  0.64  |  Q  77.5  |  Rem 2.23
Episode  28800  |  Step  4.7  |  Score   13.1  |  Loss 0.844  |  Eps  0.64  |  Q  77.0  |  Rem 2.32
Episode  28900  |  Step  4.7  |  Score    5.6  |  Loss 0.919  |  Eps  0.64  |  Q  75.7  |  Rem 2.41
Episode  29000  |  Step  4.4  |  Score   24.9  |  Loss 0.857  |  Eps  0.64  |  Q  76.1  |  Rem 2.19
Episode  29100  |  Step  4.3  |  Score   11.1  |  Loss 0.897  |  Eps  0.64  |  Q  76.1  |  Rem 2.36
Episode  29200  |  Step  4.3  |  Score   18.7  |  Loss 0.833  |  Eps  0.64  |  Q  76.1  |  Rem 2.27
Episode  29300  |  Step  4.8  |  Score    7.1  |  Loss 0.901  |  Eps  0.64  |  Q  75.6  |  Rem 2.65
Episode  29400  |  Step  4.3  |  Score   21.6  |  Loss 0.919  |  Eps  0.64  |  Q  76.5  |  Rem 2.25
Episode  29500  |  Step  4.4  |  Score   17.1  |  Loss 0.861  |  Eps  0.63  |  Q  76.7  |  Rem 2.31
Episode  29600  |  Step  4.3  |  Score   14.6  |  Loss 0.899  |  Eps  0.63  |  Q  76.6  |  Rem 2.25
Episode  29700  |  Step  4.3  |  Score    5.6  |  Loss 0.818  |  Eps  0.63  |  Q  76.8  |  Rem 2.35
Episode  29800  |  Step  4.7  |  Score    7.8  |  Loss 0.836  |  Eps  0.63  |  Q  77.9  |  Rem 2.52
Episode  29900  |  Step  4.4  |  Score   13.0  |  Loss 0.879  |  Eps  0.63  |  Q  78.5  |  Rem 2.31
Episode  30000  |  Step  4.5  |  Score   18.4  |  Loss 0.839  |  Eps  0.63  |  Q  79.0  |  Rem 2.36
Episode  30100  |  Step  4.2  |  Score   20.4  |  Loss 0.860  |  Eps  0.63  |  Q  78.2  |  Rem 2.21
Episode  30200  |  Step  4.2  |  Score   -0.1  |  Loss 0.797  |  Eps  0.63  |  Q  78.0  |  Rem 2.59
Episode  30300  |  Step  4.4  |  Score   12.6  |  Loss 0.743  |  Eps  0.63  |  Q  77.9  |  Rem 2.36
Episode  30400  |  Step  4.5  |  Score   16.6  |  Loss 0.849  |  Eps  0.62  |  Q  78.5  |  Rem 2.41
Episode  30500  |  Step  4.5  |  Score   10.9  |  Loss 0.765  |  Eps  0.62  |  Q  77.9  |  Rem 2.44
Episode  30600  |  Step  4.7  |  Score   11.2  |  Loss 0.776  |  Eps  0.62  |  Q  78.1  |  Rem 2.65
Episode  30700  |  Step  4.3  |  Score   21.0  |  Loss 0.713  |  Eps  0.62  |  Q  78.9  |  Rem 2.35
Episode  30800  |  Step  4.5  |  Score   11.7  |  Loss 0.734  |  Eps  0.62  |  Q  78.8  |  Rem 2.53
Episode  30900  |  Step  4.9  |  Score    7.1  |  Loss 0.792  |  Eps  0.62  |  Q  78.2  |  Rem 2.44
Episode  31000  |  Step  4.9  |  Score    8.5  |  Loss 0.850  |  Eps  0.62  |  Q  79.0  |  Rem 2.67
Episode  31100  |  Step  4.8  |  Score    4.5  |  Loss 0.836  |  Eps  0.62  |  Q  79.0  |  Rem 2.61
Episode  31200  |  Step  4.4  |  Score   21.0  |  Loss 0.683  |  Eps  0.61  |  Q  78.6  |  Rem 2.13
Episode  31300  |  Step  4.8  |  Score   14.2  |  Loss 0.709  |  Eps  0.61  |  Q  77.3  |  Rem 2.40
Episode  31400  |  Step  5.6  |  Score    6.9  |  Loss 0.836  |  Eps  0.61  |  Q  76.9  |  Rem 2.83
Episode  31500  |  Step  5.7  |  Score   -4.9  |  Loss 0.705  |  Eps  0.61  |  Q  74.0  |  Rem 2.93
Episode  31600  |  Step  5.6  |  Score    5.1  |  Loss 0.769  |  Eps  0.61  |  Q  74.1  |  Rem 2.88
Episode  31700  |  Step  5.6  |  Score    3.4  |  Loss 0.757  |  Eps  0.61  |  Q  73.2  |  Rem 2.93
Episode  31800  |  Step  5.4  |  Score    1.7  |  Loss 0.748  |  Eps  0.61  |  Q  73.1  |  Rem 2.96
Episode  31900  |  Step  5.6  |  Score   -0.1  |  Loss 0.741  |  Eps  0.61  |  Q  71.5  |  Rem 3.04
Episode  32000  |  Step  5.5  |  Score    0.6  |  Loss 0.711  |  Eps  0.60  |  Q  71.2  |  Rem 2.69
Episode  32100  |  Step  5.5  |  Score    3.1  |  Loss 0.761  |  Eps  0.60  |  Q  70.5  |  Rem 2.73
Episode  32200  |  Step  5.6  |  Score    3.3  |  Loss 0.811  |  Eps  0.60  |  Q  71.1  |  Rem 2.72
Episode  32300  |  Step  5.7  |  Score    3.9  |  Loss 0.684  |  Eps  0.60  |  Q  69.3  |  Rem 3.11
Episode  32400  |  Step  5.5  |  Score   -1.9  |  Loss 0.711  |  Eps  0.60  |  Q  68.5  |  Rem 2.88
Episode  32500  |  Step  5.0  |  Score   13.5  |  Loss 0.688  |  Eps  0.60  |  Q  68.8  |  Rem 2.56
Episode  32600  |  Step  5.5  |  Score   10.4  |  Loss 0.700  |  Eps  0.60  |  Q  69.6  |  Rem 2.68
Episode  32700  |  Step  5.3  |  Score    8.2  |  Loss 0.733  |  Eps  0.60  |  Q  69.5  |  Rem 2.79
Episode  32800  |  Step  5.4  |  Score    9.4  |  Loss 0.685  |  Eps  0.59  |  Q  69.6  |  Rem 2.59
Episode  32900  |  Step  5.7  |  Score   13.0  |  Loss 0.689  |  Eps  0.59  |  Q  69.6  |  Rem 2.75
Episode  33000  |  Step  5.7  |  Score    4.8  |  Loss 0.690  |  Eps  0.59  |  Q  70.4  |  Rem 2.95
Episode  33100  |  Step  5.5  |  Score    0.5  |  Loss 0.665  |  Eps  0.59  |  Q  71.5  |  Rem 2.93
Episode  33200  |  Step  5.5  |  Score    3.1  |  Loss 0.606  |  Eps  0.59  |  Q  71.3  |  Rem 2.75
Episode  33300  |  Step  5.6  |  Score    5.9  |  Loss 0.717  |  Eps  0.59  |  Q  70.5  |  Rem 2.97
Episode  33400  |  Step  5.9  |  Score    1.9  |  Loss 0.614  |  Eps  0.59  |  Q  70.1  |  Rem 2.76
Episode  33500  |  Step  5.3  |  Score    4.8  |  Loss 0.668  |  Eps  0.59  |  Q  68.4  |  Rem 2.65
Episode  33600  |  Step  5.4  |  Score    0.9  |  Loss 0.661  |  Eps  0.58  |  Q  68.4  |  Rem 2.85
Episode  33700  |  Step  5.6  |  Score    4.4  |  Loss 0.621  |  Eps  0.58  |  Q  66.7  |  Rem 2.77
Episode  33800  |  Step  5.0  |  Score   -0.8  |  Loss 0.695  |  Eps  0.58  |  Q  65.9  |  Rem 2.60
Episode  33900  |  Step  5.5  |  Score    5.7  |  Loss 0.685  |  Eps  0.58  |  Q  65.9  |  Rem 2.76
Episode  34000  |  Step  5.5  |  Score   12.1  |  Loss 0.628  |  Eps  0.58  |  Q  66.5  |  Rem 2.64
Episode  34100  |  Step  5.7  |  Score    2.1  |  Loss 0.602  |  Eps  0.58  |  Q  67.2  |  Rem 2.71
Episode  34200  |  Step  5.4  |  Score    3.7  |  Loss 0.579  |  Eps  0.58  |  Q  66.6  |  Rem 2.61
Episode  34300  |  Step  5.5  |  Score   -1.7  |  Loss 0.546  |  Eps  0.58  |  Q  66.5  |  Rem 2.84
Episode  34400  |  Step  6.6  |  Score   -1.8  |  Loss 0.675  |  Eps  0.57  |  Q  64.9  |  Rem 3.04
Episode  34500  |  Step  6.5  |  Score   -0.6  |  Loss 0.660  |  Eps  0.57  |  Q  63.0  |  Rem 3.05
Episode  34600  |  Step  6.7  |  Score   -4.0  |  Loss 0.617  |  Eps  0.57  |  Q  60.7  |  Rem 3.19
Episode  34700  |  Step  6.5  |  Score    1.0  |  Loss 0.579  |  Eps  0.57  |  Q  60.7  |  Rem 3.01
Episode  34800  |  Step  6.4  |  Score    4.7  |  Loss 0.560  |  Eps  0.57  |  Q  61.5  |  Rem 3.09
Episode  34900  |  Step  6.5  |  Score   -0.9  |  Loss 0.624  |  Eps  0.57  |  Q  61.9  |  Rem 3.33
Episode  35000  |  Step  6.4  |  Score   -2.2  |  Loss 0.615  |  Eps  0.57  |  Q  61.2  |  Rem 3.29
Episode  35100  |  Step  6.4  |  Score   -2.1  |  Loss 0.555  |  Eps  0.57  |  Q  61.4  |  Rem 3.05
Episode  35200  |  Step  6.4  |  Score    1.0  |  Loss 0.570  |  Eps  0.56  |  Q  61.8  |  Rem 3.00
Episode  35300  |  Step  6.8  |  Score   -3.0  |  Loss 0.560  |  Eps  0.56  |  Q  61.2  |  Rem 3.27
Episode  35400  |  Step  6.3  |  Score   -1.5  |  Loss 0.568  |  Eps  0.56  |  Q  61.5  |  Rem 2.92
Episode  35500  |  Step  6.5  |  Score   -5.8  |  Loss 0.544  |  Eps  0.56  |  Q  62.4  |  Rem 3.21
Episode  35600  |  Step  6.5  |  Score    6.5  |  Loss 0.579  |  Eps  0.56  |  Q  62.2  |  Rem 3.03
Episode  35700  |  Step  6.8  |  Score   -2.5  |  Loss 0.537  |  Eps  0.56  |  Q  62.9  |  Rem 3.19
Episode  35800  |  Step  6.7  |  Score   -1.9  |  Loss 0.600  |  Eps  0.56  |  Q  60.3  |  Rem 2.84
Episode  35900  |  Step  6.7  |  Score    4.8  |  Loss 0.587  |  Eps  0.56  |  Q  60.6  |  Rem 3.12
Episode  36000  |  Step  6.4  |  Score    3.0  |  Loss 0.511  |  Eps  0.55  |  Q  60.8  |  Rem 3.15
Episode  36100  |  Step  6.5  |  Score   -3.3  |  Loss 0.587  |  Eps  0.55  |  Q  61.6  |  Rem 3.03
Episode  36200  |  Step  6.5  |  Score    8.0  |  Loss 0.530  |  Eps  0.55  |  Q  60.5  |  Rem 3.01
Episode  36300  |  Step  6.9  |  Score   -3.0  |  Loss 0.560  |  Eps  0.55  |  Q  60.6  |  Rem 3.28
Episode  36400  |  Step  6.5  |  Score   -6.0  |  Loss 0.557  |  Eps  0.55  |  Q  59.9  |  Rem 3.24
Episode  36500  |  Step  6.4  |  Score   -1.6  |  Loss 0.530  |  Eps  0.55  |  Q  59.9  |  Rem 3.21
Episode  36600  |  Step  6.4  |  Score    3.4  |  Loss 0.513  |  Eps  0.55  |  Q  60.4  |  Rem 3.07
Episode  36700  |  Step  6.5  |  Score    3.5  |  Loss 0.575  |  Eps  0.55  |  Q  58.4  |  Rem 3.07
Episode  36800  |  Step  6.4  |  Score    0.5  |  Loss 0.495  |  Eps  0.54  |  Q  60.8  |  Rem 3.08
Episode  36900  |  Step  6.6  |  Score   11.4  |  Loss 0.455  |  Eps  0.54  |  Q  61.4  |  Rem 2.93
Episode  37000  |  Step  6.5  |  Score    6.5  |  Loss 0.508  |  Eps  0.54  |  Q  61.6  |  Rem 3.04
Episode  37100  |  Step  7.2  |  Score   -6.3  |  Loss 0.494  |  Eps  0.54  |  Q  59.9  |  Rem 3.41
Episode  37200  |  Step  7.6  |  Score   -7.1  |  Loss 0.455  |  Eps  0.54  |  Q  59.6  |  Rem 3.39
Episode  37300  |  Step  7.0  |  Score    0.4  |  Loss 0.520  |  Eps  0.54  |  Q  58.3  |  Rem 3.20
Episode  37400  |  Step  7.2  |  Score   -1.7  |  Loss 0.463  |  Eps  0.54  |  Q  58.1  |  Rem 3.12
Episode  37500  |  Step  7.7  |  Score  -11.2  |  Loss 0.493  |  Eps  0.54  |  Q  57.4  |  Rem 3.37
Episode  37600  |  Step  7.9  |  Score   -5.9  |  Loss 0.488  |  Eps  0.53  |  Q  56.6  |  Rem 3.71
Episode  37700  |  Step  7.6  |  Score   -4.0  |  Loss 0.443  |  Eps  0.53  |  Q  57.3  |  Rem 3.33
Episode  37800  |  Step  7.2  |  Score   -1.2  |  Loss 0.501  |  Eps  0.53  |  Q  57.1  |  Rem 3.27
Episode  37900  |  Step  7.4  |  Score   -2.0  |  Loss 0.411  |  Eps  0.53  |  Q  57.2  |  Rem 3.20
Episode  38000  |  Step  7.7  |  Score  -11.8  |  Loss 0.445  |  Eps  0.53  |  Q  57.4  |  Rem 3.72
Episode  38100  |  Step  7.4  |  Score   -7.3  |  Loss 0.438  |  Eps  0.53  |  Q  57.8  |  Rem 3.39
Episode  38200  |  Step  8.0  |  Score   -3.4  |  Loss 0.496  |  Eps  0.53  |  Q  56.5  |  Rem 3.76
Episode  38300  |  Step  7.5  |  Score  -10.4  |  Loss 0.379  |  Eps  0.53  |  Q  57.0  |  Rem 3.68
Episode  38400  |  Step  7.3  |  Score   -9.7  |  Loss 0.410  |  Eps  0.52  |  Q  54.3  |  Rem 3.55
Episode  38500  |  Step  7.6  |  Score   -4.0  |  Loss 0.398  |  Eps  0.52  |  Q  53.7  |  Rem 3.33
Episode  38600  |  Step  6.7  |  Score    3.9  |  Loss 0.509  |  Eps  0.52  |  Q  54.3  |  Rem 3.03
Episode  38700  |  Step  7.4  |  Score   -4.5  |  Loss 0.417  |  Eps  0.52  |  Q  53.6  |  Rem 3.39
Episode  38800  |  Step  7.3  |  Score    1.1  |  Loss 0.494  |  Eps  0.52  |  Q  56.0  |  Rem 3.37
Episode  38900  |  Step  7.5  |  Score    3.8  |  Loss 0.485  |  Eps  0.52  |  Q  56.0  |  Rem 3.19
Episode  39000  |  Step  7.5  |  Score   -7.1  |  Loss 0.380  |  Eps  0.52  |  Q  53.9  |  Rem 3.37
Episode  39100  |  Step  7.9  |  Score   -3.9  |  Loss 0.476  |  Eps  0.52  |  Q  56.1  |  Rem 3.36
Episode  39200  |  Step  7.4  |  Score   -3.3  |  Loss 0.454  |  Eps  0.51  |  Q  55.1  |  Rem 3.64
Episode  39300  |  Step  7.6  |  Score   -3.4  |  Loss 0.434  |  Eps  0.51  |  Q  54.6  |  Rem 3.24
Episode  39400  |  Step  7.6  |  Score   -4.6  |  Loss 0.398  |  Eps  0.51  |  Q  56.4  |  Rem 3.44
Episode  39500  |  Step  7.9  |  Score   -0.4  |  Loss 0.445  |  Eps  0.51  |  Q  54.9  |  Rem 3.48
Episode  39600  |  Step  7.3  |  Score   -0.5  |  Loss 0.485  |  Eps  0.51  |  Q  55.6  |  Rem 3.41
Episode  39700  |  Step  8.4  |  Score   -8.8  |  Loss 0.423  |  Eps  0.51  |  Q  55.8  |  Rem 3.80
Episode  39800  |  Step  8.6  |  Score   -5.3  |  Loss 0.497  |  Eps  0.51  |  Q  55.9  |  Rem 3.48
Episode  39900  |  Step  8.6  |  Score   -8.0  |  Loss 0.475  |  Eps  0.51  |  Q  55.2  |  Rem 3.69
Episode  40000  |  Step  8.9  |  Score   -5.3  |  Loss 0.452  |  Eps  0.51  |  Q  55.3  |  Rem 3.53
Episode  40100  |  Step  8.6  |  Score  -11.3  |  Loss 0.484  |  Eps  0.50  |  Q  54.1  |  Rem 3.77
Episode  40200  |  Step  8.7  |  Score   -7.5  |  Loss 0.428  |  Eps  0.50  |  Q  51.8  |  Rem 3.63
Episode  40300  |  Step  8.7  |  Score    0.5  |  Loss 0.468  |  Eps  0.50  |  Q  50.1  |  Rem 3.23
Episode  40400  |  Step  8.6  |  Score   -6.6  |  Loss 0.436  |  Eps  0.50  |  Q  50.2  |  Rem 3.69
Episode  40500  |  Step  8.5  |  Score   -8.2  |  Loss 0.415  |  Eps  0.50  |  Q  52.2  |  Rem 3.72
Episode  40600  |  Step  8.5  |  Score   -4.1  |  Loss 0.505  |  Eps  0.50  |  Q  51.7  |  Rem 3.49
Episode  40700  |  Step  8.3  |  Score   -4.9  |  Loss 0.472  |  Eps  0.50  |  Q  52.1  |  Rem 3.60
Episode  40800  |  Step  8.5  |  Score   -6.2  |  Loss 0.507  |  Eps  0.50  |  Q  52.6  |  Rem 3.63
Episode  40900  |  Step  8.5  |  Score   -6.3  |  Loss 0.496  |  Eps  0.49  |  Q  53.3  |  Rem 3.63
Episode  41000  |  Step  8.3  |  Score   -2.8  |  Loss 0.496  |  Eps  0.49  |  Q  53.4  |  Rem 3.49
Episode  41100  |  Step  8.2  |  Score   -1.7  |  Loss 0.527  |  Eps  0.49  |  Q  54.2  |  Rem 3.75
Episode  41200  |  Step  8.4  |  Score    3.6  |  Loss 0.471  |  Eps  0.49  |  Q  51.2  |  Rem 3.37
Episode  41300  |  Step  8.5  |  Score   -2.6  |  Loss 0.521  |  Eps  0.49  |  Q  52.6  |  Rem 3.49
Episode  41400  |  Step  8.4  |  Score   -8.1  |  Loss 0.534  |  Eps  0.49  |  Q  53.6  |  Rem 3.68
Episode  41500  |  Step  9.0  |  Score  -12.7  |  Loss 0.490  |  Eps  0.49  |  Q  51.2  |  Rem 4.08
Episode  41600  |  Step  8.1  |  Score  -11.3  |  Loss 0.554  |  Eps  0.49  |  Q  48.9  |  Rem 3.93
Episode  41700  |  Step  8.3  |  Score   -2.2  |  Loss 0.527  |  Eps  0.48  |  Q  48.2  |  Rem 3.39
Episode  41800  |  Step  8.3  |  Score   -4.9  |  Loss 0.594  |  Eps  0.48  |  Q  47.7  |  Rem 3.61
Episode  41900  |  Step  8.5  |  Score   -1.1  |  Loss 0.511  |  Eps  0.48  |  Q  51.0  |  Rem 3.47
Episode  42000  |  Step  8.3  |  Score   -8.7  |  Loss 0.572  |  Eps  0.48  |  Q  51.3  |  Rem 3.76
Episode  42100  |  Step  9.9  |  Score  -14.3  |  Loss 0.591  |  Eps  0.48  |  Q  50.0  |  Rem 4.27
Episode  42200  |  Step  9.8  |  Score   -9.8  |  Loss 0.596  |  Eps  0.48  |  Q  49.9  |  Rem 3.96
Episode  42300  |  Step  9.6  |  Score   -8.2  |  Loss 0.640  |  Eps  0.48  |  Q  50.2  |  Rem 3.89
Episode  42400  |  Step  9.4  |  Score  -15.9  |  Loss 0.561  |  Eps  0.48  |  Q  48.2  |  Rem 4.23
Episode  42500  |  Step  9.6  |  Score   -7.7  |  Loss 0.537  |  Eps  0.47  |  Q  47.8  |  Rem 3.81
Episode  42600  |  Step 10.0  |  Score  -11.0  |  Loss 0.532  |  Eps  0.47  |  Q  47.8  |  Rem 4.20
Episode  42700  |  Step  9.5  |  Score   -2.1  |  Loss 0.597  |  Eps  0.47  |  Q  51.5  |  Rem 3.56
Episode  42800  |  Step  9.8  |  Score   -6.7  |  Loss 0.548  |  Eps  0.47  |  Q  51.3  |  Rem 3.92
Episode  42900  |  Step  9.5  |  Score   -8.9  |  Loss 0.677  |  Eps  0.47  |  Q  50.0  |  Rem 4.00
Episode  43000  |  Step  9.5  |  Score   -4.5  |  Loss 0.557  |  Eps  0.47  |  Q  50.1  |  Rem 3.97
Episode  43100  |  Step  9.5  |  Score   -8.7  |  Loss 0.640  |  Eps  0.47  |  Q  50.6  |  Rem 3.97
Episode  43200  |  Step  9.4  |  Score   -7.4  |  Loss 0.604  |  Eps  0.47  |  Q  52.5  |  Rem 3.97
