Episode    100  |  Step  1.9  |  Score   20.6  |  Loss   nan  |  Eps  1.00  |  Q   nan  |  Rem 1.56
Episode   5100  |  Step  2.0  |  Score   26.4  |  Loss 0.629  |  Eps  0.94  |  Q  95.6  |  Rem 1.53
Episode   5200  |  Step  1.9  |  Score   28.0  |  Loss 0.593  |  Eps  0.94  |  Q  95.7  |  Rem 1.48
Episode   5300  |  Step  1.9  |  Score   34.0  |  Loss 0.483  |  Eps  0.93  |  Q  95.8  |  Rem 1.41
Episode   5400  |  Step  2.1  |  Score   22.1  |  Loss 0.446  |  Eps  0.93  |  Q  96.0  |  Rem 1.57
Episode   5500  |  Step  2.0  |  Score   36.6  |  Loss 0.391  |  Eps  0.93  |  Q  96.1  |  Rem 1.47
Episode   5600  |  Step  2.1  |  Score   22.0  |  Loss 0.389  |  Eps  0.93  |  Q  96.2  |  Rem 1.57
Episode   5700  |  Step  2.2  |  Score   27.3  |  Loss 0.348  |  Eps  0.93  |  Q  96.4  |  Rem 1.65
Episode   5800  |  Step  1.9  |  Score   38.3  |  Loss 0.353  |  Eps  0.93  |  Q  96.5  |  Rem 1.40
Episode   5900  |  Step  2.0  |  Score   22.2  |  Loss 0.334  |  Eps  0.93  |  Q  96.4  |  Rem 1.53
Episode   6000  |  Step  2.0  |  Score   25.1  |  Loss 0.355  |  Eps  0.93  |  Q  96.5  |  Rem 1.52
Episode   6100  |  Step  1.9  |  Score   36.8  |  Loss 0.330  |  Eps  0.92  |  Q  96.6  |  Rem 1.41
Episode   6200  |  Step  2.0  |  Score   30.8  |  Loss 0.353  |  Eps  0.92  |  Q  96.5  |  Rem 1.49
Episode   6300  |  Step  1.8  |  Score   27.1  |  Loss 0.329  |  Eps  0.92  |  Q  96.6  |  Rem 1.39
Episode   6400  |  Step  1.9  |  Score   30.8  |  Loss 0.335  |  Eps  0.92  |  Q  96.7  |  Rem 1.48
Episode   6500  |  Step  2.0  |  Score   34.1  |  Loss 0.330  |  Eps  0.92  |  Q  96.8  |  Rem 1.41
Episode   6600  |  Step  2.0  |  Score   35.5  |  Loss 0.335  |  Eps  0.92  |  Q  96.9  |  Rem 1.41
Episode   6700  |  Step  2.1  |  Score   26.4  |  Loss 0.277  |  Eps  0.92  |  Q  97.0  |  Rem 1.55
Episode   6800  |  Step  2.0  |  Score   35.2  |  Loss 0.243  |  Eps  0.92  |  Q  97.1  |  Rem 1.47
Episode   6900  |  Step  1.8  |  Score   24.5  |  Loss 0.243  |  Eps  0.91  |  Q  97.2  |  Rem 1.59
Episode   7000  |  Step  2.1  |  Score   32.7  |  Loss 0.206  |  Eps  0.91  |  Q  97.3  |  Rem 1.43
Episode   7100  |  Step  2.1  |  Score   34.8  |  Loss 0.189  |  Eps  0.91  |  Q  97.4  |  Rem 1.55
Episode   7200  |  Step  2.0  |  Score   34.7  |  Loss 0.184  |  Eps  0.91  |  Q  97.5  |  Rem 1.55
Episode   7300  |  Step  2.1  |  Score   34.0  |  Loss 0.163  |  Eps  0.91  |  Q  97.5  |  Rem 1.45
Episode   7400  |  Step  2.0  |  Score   31.0  |  Loss 0.168  |  Eps  0.91  |  Q  97.6  |  Rem 1.47
Episode   7500  |  Step  2.1  |  Score   27.2  |  Loss 0.160  |  Eps  0.91  |  Q  97.7  |  Rem 1.65
Episode   7600  |  Step  2.1  |  Score   29.2  |  Loss 0.154  |  Eps  0.91  |  Q  97.7  |  Rem 1.55
Episode   7700  |  Step  2.1  |  Score   27.5  |  Loss 0.138  |  Eps  0.90  |  Q  97.6  |  Rem 1.61
Episode   7800  |  Step  2.0  |  Score   26.3  |  Loss 0.130  |  Eps  0.90  |  Q  97.5  |  Rem 1.56
Episode   7900  |  Step  2.1  |  Score   18.9  |  Loss 0.130  |  Eps  0.90  |  Q  97.5  |  Rem 1.64
Episode   8000  |  Step  2.1  |  Score   23.8  |  Loss 0.115  |  Eps  0.90  |  Q  97.6  |  Rem 1.52
Episode   8100  |  Step  2.0  |  Score   34.1  |  Loss 0.104  |  Eps  0.90  |  Q  97.6  |  Rem 1.43
Episode   8200  |  Step  2.0  |  Score   24.6  |  Loss 0.105  |  Eps  0.90  |  Q  97.7  |  Rem 1.60
Episode   8300  |  Step  1.9  |  Score   35.1  |  Loss 0.091  |  Eps  0.90  |  Q  97.7  |  Rem 1.47
Episode   8400  |  Step  2.0  |  Score   22.5  |  Loss 0.088  |  Eps  0.90  |  Q  97.8  |  Rem 1.48
